title,urls
Winnie-the-Pooh (Winnie-the-Pooh #1),https://www.goodreads.com/book/show/99107.Winnie_the_Pooh
Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
Catch-22,https://www.goodreads.com/book/show/168668.Catch_22
The Scarlet Letter,https://www.goodreads.com/book/show/12296.The_Scarlet_Letter
Macbeth,https://www.goodreads.com/book/show/8852.Macbeth
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight
Lolita,https://www.goodreads.com/book/show/7604.Lolita
The Metamorphosis,https://www.goodreads.com/book/show/485894.The_Metamorphosis
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger
Siddhartha,https://www.goodreads.com/book/show/52036.Siddhartha
The Time Traveler's Wife,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
Goodnight Moon,https://www.goodreads.com/book/show/32929.Goodnight_Moon
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://www.goodreads.com/book/show/15881.Harry_Potter_and_the_Chamber_of_Secrets
A Tree Grows in Brooklyn,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
War and Peace,https://www.goodreads.com/book/show/656.War_and_Peace
"The Little House Collection (Little House, #1-9)",https://www.goodreads.com/book/show/114345.The_Little_House_Collection
A Clockwork Orange,https://www.goodreads.com/book/show/41817486-a-clockwork-orange
All Quiet on the Western Front,https://www.goodreads.com/book/show/355697.All_Quiet_on_the_Western_Front
The Stand,https://www.goodreads.com/book/show/149267.The_Stand
Don Quixote,https://www.goodreads.com/book/show/3836.Don_Quixote
Uncle Tom's Cabin,https://www.goodreads.com/book/show/46787.Uncle_Tom_s_Cabin
القرآن الكريم,https://www.goodreads.com/book/show/646462._
Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged
The Brothers Karamazov,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
The Poisonwood Bible,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
"Moby-Dick or, The Whale",https://www.goodreads.com/book/show/153747.Moby_Dick_or_The_Whale
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
The Book of Mormon: Another Testament of Jesus Christ,https://www.goodreads.com/book/show/323355.The_Book_of_Mormon
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
Great Expectations,https://www.goodreads.com/book/show/2623.Great_Expectations
"The Good Earth (House of Earth, #1)",https://www.goodreads.com/book/show/1078.The_Good_Earth
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,https://www.goodreads.com/book/show/561909.The_Hiding_Place
Dracula,https://www.goodreads.com/book/show/17245.Dracula
